City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,San Juan Tepa,MX,20.2167,-99.0667,68.65,45,77,16.58,broken clouds
300,Ewo,CG,-0.8725,14.8206,79.74,63,38,2.77,scattered clouds
301,Lukulu,ZM,-14.3707,23.242,66.36,91,26,3.51,scattered clouds
302,Hambantota,LK,6.1241,81.1185,78.44,83,99,4.63,moderate rain
303,Porto Novo,BJ,6.4965,2.6036,82.63,79,57,9.78,broken clouds
304,Meadow Lake,US,34.8014,-106.5436,66.87,4,0,11.61,clear sky
305,Saldanha,ZA,-33.0117,17.9442,57.25,71,2,21.56,clear sky
306,Punta Alta,AR,-38.8759,-62.0736,68.81,63,100,16.75,overcast clouds
307,Port Macquarie,AU,-31.4333,152.9167,67.89,82,92,9.37,overcast clouds
308,Marolambo,MG,-20.05,48.1167,71.13,98,89,0.87,light rain
309,Uruzgan,AF,32.8333,66.0,65.39,22,0,3.58,clear sky
310,Kourou,GF,5.1552,-52.6478,77.05,92,97,9.51,light rain
311,Flinders,AU,-34.5833,150.8552,65.17,87,100,3.0,overcast clouds
312,Ust-Ishim,RU,57.6935,71.1665,34.36,97,100,7.94,overcast clouds
313,Hofn,IS,64.2539,-15.2082,30.36,61,72,12.93,broken clouds
314,Chimoio,MZ,-19.1164,33.4833,73.26,94,40,2.1,scattered clouds
315,Bengkulu,ID,-3.8004,102.2655,73.31,84,96,4.16,overcast clouds
316,La Ronge,CA,55.1001,-105.2842,43.05,49,75,5.75,broken clouds
317,The Valley,AI,18.217,-63.0578,82.26,69,20,14.97,few clouds
318,Sinnamary,GF,5.3833,-52.95,77.05,91,97,11.27,light rain
319,Bud,US,39.447,-86.1758,47.68,70,98,20.33,light rain
320,Saint-Georges,GD,12.0564,-61.7485,80.28,83,40,17.27,scattered clouds
321,Whitehorse,CA,60.7161,-135.0538,42.1,47,75,16.11,broken clouds
322,Coihaique,CL,-45.5752,-72.0662,56.01,67,20,3.44,few clouds
323,Muravlenko,RU,63.7898,74.523,-5.46,100,40,6.42,scattered clouds
324,Gao,ML,16.6362,1.637,92.46,7,0,8.1,clear sky
325,Pires Do Rio,BR,-17.2997,-48.2794,79.81,50,47,3.06,scattered clouds
326,Abu Dhabi,AE,24.4667,54.3667,80.71,69,0,3.44,clear sky
327,Meghraj,IN,23.5,73.5,87.12,19,88,13.65,overcast clouds
328,Grand Gaube,MU,-20.0064,57.6608,79.2,87,10,3.0,clear sky
329,Isangel,VU,-19.55,169.2667,82.51,89,40,2.3,scattered clouds
330,Atambua,ID,-9.1061,124.8925,72.59,87,100,3.29,overcast clouds
331,Presidente Epitacio,BR,-21.7633,-52.1156,85.84,55,99,7.14,overcast clouds
332,Sharan,RU,54.8167,54.0,24.35,95,37,3.89,scattered clouds
333,Quixeramobim,BR,-5.1992,-39.2928,80.58,68,100,3.94,overcast clouds
334,Gushikawa,JP,26.3544,127.8686,65.43,89,0,8.05,clear sky
335,Miraflores,MX,19.2167,-98.8083,79.56,21,100,7.14,overcast clouds
336,Asau,RO,46.4333,26.4,45.95,81,100,4.34,overcast clouds
337,Mildura,AU,-34.2,142.15,62.56,72,40,10.36,scattered clouds
338,Temba,ZA,-25.3803,28.2631,59.02,26,86,3.47,overcast clouds
339,Surt,LY,31.2089,16.5887,60.49,71,2,15.37,clear sky
340,Margate,GB,51.3813,1.3862,47.3,65,36,8.99,scattered clouds
341,Ekhabi,RU,53.5102,142.9671,17.24,91,78,5.03,broken clouds
342,Laguna,US,38.421,-121.4238,91.09,27,0,4.61,clear sky
343,Malkapur,IN,20.8833,76.2,89.2,15,0,6.44,clear sky
344,Aljezur,PT,37.3191,-8.8033,53.47,86,3,7.85,clear sky
